waterpoint_id,habitation,flow_ok,usage_count,recorded_at
WP001,Anna Nagar,true,20,2026-07-27T09:04:53.451597
WP001,Anna Nagar,true,25,2026-07-27T03:04:53.451597
WP001,Anna Nagar,true,30,2026-07-26T21:04:53.451597
WP001,Anna Nagar,true,35,2026-07-26T15:04:53.451597
WP002,Gandhi Street,true,21,2026-07-27T09:04:53.451597
WP002,Gandhi Street,true,26,2026-07-27T03:04:53.451597
WP002,Gandhi Street,true,31,2026-07-26T21:04:53.451597
WP002,Gandhi Street,true,36,2026-07-26T15:04:53.451597
WP003,Perumal Koil Street,true,22,2026-07-27T09:04:53.451597
WP003,Perumal Koil Street,true,27,2026-07-27T03:04:53.451597
WP003,Perumal Koil Street,true,32,2026-07-26T21:04:53.451597
WP003,Perumal Koil Street,true,37,2026-07-26T15:04:53.451597
WP004,East Colony,true,23,2026-07-27T09:04:53.451597
WP004,East Colony,true,28,2026-07-27T03:04:53.451597
WP004,East Colony,true,33,2026-07-26T21:04:53.451597
WP004,East Colony,true,38,2026-07-26T15:04:53.451597
WP005,West Colony,true,24,2026-07-27T09:04:53.451597
WP005,West Colony,true,29,2026-07-27T03:04:53.451597
WP005,West Colony,true,34,2026-07-26T21:04:53.451597
WP005,West Colony,true,39,2026-07-26T15:04:53.451597
WP006,Anna Nagar,true,2,2026-07-27T09:04:53.451597
WP006,Anna Nagar,true,3,2026-07-27T03:04:53.451597
WP006,Anna Nagar,true,1,2026-07-26T21:04:53.451597
WP007,Gandhi Street,true,,2026-07-27T09:04:53.451597
WP007,Gandhi Street,true,22,2026-07-27T03:04:53.451597
WP007,Gandhi Street,true,19,2026-07-26T21:04:53.451597
WP008,Perumal Koil Street,true,15,2026-07-27T09:04:53.451597
WP008,Perumal Koil Street,false,0,2026-07-26T03:04:53.451597
WP008,Perumal Koil Street,false,0,2026-07-25T21:04:53.451597
WP009,East Colony,true,45,2026-07-27T09:04:53.451597
WP009,East Colony,true,40,2026-07-27T03:04:53.451597
WP009,East Colony,true,38,2026-07-26T09:04:53.451597
WP010,West Colony,false,0,2026-07-27T09:04:53.451597
WP010,West Colony,false,0,2026-07-27T03:04:53.451597
WP010,West Colony,false,0,2026-07-26T21:04:53.451597
WP010,West Colony,true,30,2026-07-24T21:04:53.451597
WP011,Anna Nagar,true,33,2026-07-27T09:04:53.451597
WP011,Anna Nagar,true,28,2026-07-26T21:04:53.451597
WP012,East Colony,true,9999,2026-07-27T09:04:53.451597
WP012,East Colony,false,0,2026-07-26T13:04:53.451597
WP012,East Colony,false,0,2026-07-26T07:04:53.451597
WP012,East Colony,false,0,2026-07-26T01:04:53.451597
WP013,Gandhi Street,false,0,2026-07-27T09:04:53.451597
WP013,Gandhi Street,true,12,2026-07-27T06:04:53.451597
WP018,Anna Nagar,true,25,2026-07-27T09:04:53.451597
WP018,Anna Nagar,true,25,2026-07-27T05:04:53.451597
WP018,Anna Nagar,true,25,2026-07-27T01:04:53.451597
WP018,Anna Nagar,true,25,2026-07-26T21:04:53.451597
WP018,Anna Nagar,true,25,2026-07-26T17:04:53.451597
WP018,Anna Nagar,true,25,2026-07-26T13:04:53.451597
WP020,West Colony,true,8,2026-07-27T09:04:53.451597
WP020,West Colony,true,0,2026-07-26T23:04:53.451597
WP020,West Colony,true,60,2026-07-26T13:04:53.451597
